Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
1997-05-15,2.4375,2.5,1.9270830154418945,1.9583330154418945,72156000,0.0,0.0,AMZN
1997-05-16,1.96875,1.9791669845581055,1.7083330154418945,1.7291669845581055,14700000,0.0,0.0,AMZN
1997-05-19,1.7604169845581055,1.7708330154418945,1.625,1.7083330154418945,6106800,0.0,0.0,AMZN
1997-05-20,1.7291669845581055,1.75,1.6354169845581055,1.6354169845581055,5467200,0.0,0.0,AMZN
1997-05-21,1.6354169845581055,1.6458330154418945,1.375,1.4270830154418945,18853200,0.0,0.0,AMZN
1997-05-22,1.4375,1.4479169845581055,1.3125,1.3958330154418945,11776800,0.0,0.0,AMZN
1997-05-23,1.40625,1.5208330154418945,1.3333330154418945,1.5,15937200,0.0,0.0,AMZN
1997-05-27,1.5104169845581055,1.6458330154418945,1.4583330154418945,1.5833330154418945,8697600,0.0,0.0,AMZN
1997-05-28,1.625,1.6354169845581055,1.53125,1.53125,4574400,0.0,0.0,AMZN
1997-05-29,1.5416669845581055,1.5416669845581055,1.4791669845581055,1.5052080154418945,3472800,0.0,0.0,AMZN
1997-05-30,1.5,1.5104169845581055,1.4791669845581055,1.5,2594400,0.0,0.0,AMZN
1997-06-02,1.5104169845581055,1.53125,1.5,1.5104169845581055,591600,0.0,0.0,AMZN
1997-06-03,1.53125,1.53125,1.4791669845581055,1.4791669845581055,1183200,0.0,0.0,AMZN
1997-06-04,1.4791669845581055,1.4895830154418945,1.3958330154418945,1.4166669845581055,3080400,0.0,0.0,AMZN
1997-06-05,1.4166669845581055,1.5416669845581055,1.375,1.5416669845581055,5672400,0.0,0.0,AMZN
1997-06-06,1.515625,1.7083330154418945,1.5104169845581055,1.65625,7807200,0.0,0.0,AMZN
1997-06-09,1.65625,1.7083330154418945,1.65625,1.6875,2352000,0.0,0.0,AMZN
1997-06-10,1.7083330154418945,1.7083330154418945,1.53125,1.5833330154418945,5458800,0.0,0.0,AMZN
1997-06-11,1.59375,1.6041669845581055,1.53125,1.5416669845581055,1188000,0.0,0.0,AMZN
1997-06-12,1.5833330154418945,1.6458330154418945,1.5520830154418945,1.6041669845581055,1632000,0.0,0.0,AMZN
1997-06-13,1.625,1.625,1.5833330154418945,1.5833330154418945,693600,0.0,0.0,AMZN
1997-06-16,1.6041669845581055,1.6041669845581055,1.5625,1.5729169845581055,913200,0.0,0.0,AMZN
1997-06-17,1.5989580154418945,1.5989580154418945,1.4947919845581055,1.5052080154418945,4706400,0.0,0.0,AMZN
1997-06-18,1.5208330154418945,1.5364580154418945,1.5,1.5104169845581055,2464800,0.0,0.0,AMZN
1997-06-19,1.5104169845581055,1.53125,1.5,1.5104169845581055,1003200,0.0,0.0,AMZN
1997-06-20,1.53125,1.5520830154418945,1.5,1.5260419845581055,3387600,0.0,0.0,AMZN
1997-06-23,1.5416669845581055,1.5416669845581055,1.4791669845581055,1.5,1047600,0.0,0.0,AMZN
1997-06-24,1.5052080154418945,1.5260419845581055,1.4791669845581055,1.5104169845581055,751200,0.0,0.0,AMZN
1997-06-25,1.5260419845581055,1.5260419845581055,1.4895830154418945,1.5104169845581055,2106000,0.0,0.0,AMZN
1997-06-26,1.5208330154418945,1.5208330154418945,1.5052080154418945,1.5104169845581055,3189600,0.0,0.0,AMZN
1997-06-27,1.515625,1.515625,1.4791669845581055,1.4895830154418945,1188000,0.0,0.0,AMZN
1997-06-30,1.5104169845581055,1.5989580154418945,1.4791669845581055,1.5416669845581055,2746800,0.0,0.0,AMZN
1997-07-01,1.5416669845581055,1.5416669845581055,1.5104169845581055,1.515625,1292400,0.0,0.0,AMZN
1997-07-02,1.515625,1.59375,1.5104169845581055,1.5885419845581055,3882000,0.0,0.0,AMZN
1997-07-03,1.5989580154418945,1.9166669845581055,1.59375,1.9114580154418945,12577200,0.0,0.0,AMZN
1997-07-07,1.8333330154418945,2.0208330154418945,1.8333330154418945,2.0,8053200,0.0,0.0,AMZN
1997-07-08,2.0416669845581055,2.3333330154418945,2.0416669845581055,2.3020830154418945,15517200,0.0,0.0,AMZN
1997-07-09,2.3020830154418945,2.3854169845581055,2.2708330154418945,2.3229169845581055,8262000,0.0,0.0,AMZN
1997-07-10,2.3333330154418945,2.5729169845581055,2.3333330154418945,2.5625,9051600,0.0,0.0,AMZN
1997-07-11,2.5208330154418945,2.5208330154418945,2.2083330154418945,2.2916669845581055,10531200,0.0,0.0,AMZN
1997-07-14,2.3229169845581055,2.3333330154418945,2.1145830154418945,2.1354169845581055,4604400,0.0,0.0,AMZN
1997-07-15,2.1354169845581055,2.4791669845581055,2.1354169845581055,2.4375,9274800,0.0,0.0,AMZN
1997-07-16,2.4479169845581055,2.4947919845581055,2.3020830154418945,2.3333330154418945,3024000,0.0,0.0,AMZN
1997-07-17,2.34375,2.34375,2.15625,2.21875,3169200,0.0,0.0,AMZN
1997-07-18,2.1875,2.21875,2.15625,2.15625,780000,0.0,0.0,AMZN
1997-07-21,2.1770830154418945,2.1979169845581055,2.1458330154418945,2.1822919845581055,574800,0.0,0.0,AMZN
1997-07-22,2.1666669845581055,2.1875,2.0625,2.1354169845581055,1563600,0.0,0.0,AMZN
1997-07-23,2.1875,2.3333330154418945,2.1770830154418945,2.2916669845581055,3259200,0.0,0.0,AMZN
1997-07-24,2.3020830154418945,2.3125,2.21875,2.2604169845581055,1216800,0.0,0.0,AMZN
1997-07-25,2.21875,2.25,2.21875,2.2291669845581055,620400,0.0,0.0,AMZN
1997-07-28,2.2291669845581055,2.3958330154418945,2.21875,2.3229169845581055,2574000,0.0,0.0,AMZN
1997-07-29,2.3645830154418945,2.5,2.3333330154418945,2.4791669845581055,4814400,0.0,0.0,AMZN
1997-07-30,2.5,2.5052080154418945,2.4270830154418945,2.4479169845581055,2517600,0.0,0.0,AMZN
1997-07-31,2.4375,2.4375,2.3333330154418945,2.3958330154418945,1454400,0.0,0.0,AMZN
1997-08-01,2.34375,2.4166669845581055,2.25,2.4166669845581055,3588000,0.0,0.0,AMZN
1997-08-04,2.375,2.4114580154418945,2.3020830154418945,2.3125,2671200,0.0,0.0,AMZN
1997-08-05,2.3333330154418945,2.3333330154418945,2.1458330154418945,2.2083330154418945,3032400,0.0,0.0,AMZN
1997-08-06,2.2083330154418945,2.3125,2.1875,2.25,1243200,0.0,0.0,AMZN
